Field (Oe),Jc
0.0,72991889977.60117
100.0,73001306122.62955
200.0,72862657200.69511
300.0,72684124872.13101
400.0,72388591047.83171
500.0,72094333048.77922
600.0,71826035319.96692
700.0,71390757028.14078
800.0,70939017817.09717
900.0,70461623424.4594
1000.0,69901799626.74277
1100.0,69419565418.76639
1200.0,69007390658.04074
1300.0,68551685294.599335
1400.0,68032507625.12732
1500.0,67443742009.03931
1600.0,67018448436.53631
1700.0,66371799183.705505
1800.0,65971717027.49345
1900.0,65321753402.55399
2000.0,64928397064.21932
2100.0,64227247885.08303
2200.0,63737788623.26311
2300.0,63287505517.12079
2400.0,62700764580.22885
2500.0,62063365060.43769
2600.0,61448611438.77804
2700.0,60170733777.40441
2800.0,60315220986.60973
2900.0,59510688359.481735
3000.0,58691428271.35209
3100.0,58435223147.05338
5096.97,45874252091.21886
7093.939,36577341252.7828
9090.909,30513399325.18621
11087.88,26553734221.408936
13084.85,23896541084.1714
15081.82,21811253255.031494
17078.79,20167542411.490757
19075.76,18813607537.439655
21072.73,17623868599.124496
23069.7,16583900450.65649
25066.67,15639828597.454414
27063.64,14774580556.242264
29060.61,13967965005.722128
31057.58,13194705351.574154
33054.55,12516697146.23582
35051.52,11843481606.172596
37048.48,11221043910.933847
39045.45,10629177484.789362
41042.43,10073601353.084784
43039.39,9541119045.114697
45036.36,9029639316.887522
47033.33,8537284486.463887
49030.3,8089241008.336418
51027.27,7650156042.268326
53024.24,7229838188.2280245
55021.21,6811291235.101008
57018.18,6429048444.079628
59015.15,6036959610.392369
61012.12,5685379615.059046
63009.09,5315111553.392573
65006.07,4968723612.1072855
67003.03,4640455162.860357
69000.0,24115870.69853646
