Field (Oe),Long Moment (emu),Long Algorithm,Interpolated Long Moment (emu)
67975.76,0.01245263,2,-0.030865684323700817
65951.52,0.01478093,2,-0.032138500932024035
63927.27,0.01723162,2,-0.0343728872395358
61903.03,0.01971794,2,-0.03692902574199826
59878.79,0.02230111,2,-0.03902966341916005
57854.55,0.02508338,2,-0.041243066949055635
55830.3,0.02783672,2,-0.043572399310708
53806.06,0.03079568,2,-0.046050687421249285
51781.82,0.03387599,2,-0.048632121534958606
49757.57,0.03705719,2,-0.051306008681705574
47733.33,0.04035339,2,-0.05409430302316017
45709.09,0.04377669,2,-0.05690514445329349
43684.85,0.04731337,2,-0.05989080150215152
41660.61,0.05097723,2,-0.06300610302105379
39636.36,0.05470679,2,-0.06612778169072289
37612.12,0.05850705,2,-0.06940490959432079
35587.88,0.06248153,2,-0.07274515570563808
33563.64,0.06648929,2,-0.07558759150917278
31539.39,0.07062992,2,-0.07948184343851872
29515.15,0.07487425,2,-0.0831542661754115
27490.91,0.07936624,2,-0.08688827632426252
25466.67,0.08402691,2,-0.09073438997502434
23442.42,0.08909863,2,-0.09481452077454687
21418.18,0.09415722,2,-0.09915503115916807
19393.94,0.1007273,2,-0.10394060030853486
17369.7,0.10788,2,-0.10923066507618083
15345.45,0.1163881,2,-0.11483469860878462
13321.21,0.1272366,2,-0.12142727765680011
11296.97,0.1410265,2,-0.12907350367513568
9272.728,0.1598345,2,-0.13833973555379245
7248.485,0.1860594,2,-0.149798669882529
5224.242,0.2247935,2,-0.1681469872923458
3200.0,0.2859257,2,-0.1999209
3100.0,0.2899021,2,-0.2014759
3000.0,0.2937664,2,-0.204014
2900.0,0.2973388,2,-0.2056926
2800.0,0.3011345,2,-0.2094209
2700.0,0.3049414,2,-0.2114154
2600.0,0.3085988,2,-0.2148918
2500.0,0.3126607,2,-0.2167672
2400.0,0.3163873,2,-0.2218773
2300.0,0.3205458,2,-0.2245537
2200.0,0.32409,2,-0.2272383
2100.0,0.327963,2,-0.231444
2000.0,0.3315514,2,-0.2344645
1900.0,0.3354026,2,-0.2387442
1800.0,0.3389054,2,-0.2437109
1700.0,0.3424017,2,-0.247047
1600.0,0.345459,2,-0.2521587
1500.0,0.3483437,2,-0.256413
1400.0,0.3511972,2,-0.261157
1300.0,0.3533984,2,-0.2673389
1200.0,0.3557051,2,-0.2719192
1100.0,0.3571029,2,-0.2768633
1000.0,0.3587206,2,-0.283255
900.0,0.3595599,2,-0.288146
800.0,0.3601432,2,-0.2936387
700.0,0.3597372,2,-0.3026239
600.0,0.3598875,2,-0.307576
500.0,0.3588076,2,-0.3154453
400.0,0.3568673,2,-0.3219587
300.0,0.3541131,2,-0.326068
200.0,0.3505607,2,-0.3341854
100.0,0.3473776,2,-0.3384604
0.0,0.3426989,2,-0.3443365
